Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
tempe bacem,237.088,10.8,15,17.6,5,100
tempe oreg/sayur tempe/sambal tempe,99.902,9.6,3.9,8.6,4,100
biscuit sun,446.93,7.5,14,73.6,51,100
biscuit susana,446.93,7.5,14,73.6,51,100
biscuit tini wini biti,558.065,5.9,38.4,51,656,100
ubi goreng,184.986,1.2,2.6,40.8,3,100
brondong,537.033,6.5,30.9,61.5,28,100
uli goreng,401.042,1.8,26.1,40.9,8,100
uli kukus,188.093,2.2,4.2,35.5,3,100
wafer coklat kero-kero rp.50 (terigu. g,305.92,6.2,2.6,63.8,1,100
wafer,305.92,6.2,2.6,63.8,1,100
vetsin,343.921,86,0,0,13464,100
wafer coklat pyramid,305.92,6.2,2.6,63.8,1,100
buah pala,260.988,3.9,3.2,79.8,26,100
vanilli,70.027,0.2,0,1.4,8,100
wafer interbis,305.92,6.2,2.6,63.8,1,100
wajik,188.093,2.2,4.2,35.5,3,100
wingka/wingko,188.093,2.2,4.2,35.5,3,100
bumbu sari mie indomie dll,325.04,12.7,13.8,58.2,52,100
cake,206.974,4.4,2,42.9,22,100
cake wanderpan,206.974,4.4,2,42.9,22,100
camel roll stick,21.988,0.3,0.9,3.4,0,100
candy mentos mint,386.941,0,0,99.9,1,100
cendil/ondal-andil/cendol,76.002,0.1,0,18.3,2,100
cheetos,500.944,6,25.7,62.1,3,100
chiki,510.026,5.9,25.5,62.9,0,100
chiki balls/ boom snack/ guntar snack,510.026,5.9,25.5,62.9,0,100
choki choki,21.988,0.3,0.9,3.4,0,100
choklat,477.044,4.2,29.7,63.4,11,100
choklat eclair,293.97,8.3,5.7,53.1,549,100
choklat jelly,21.988,0.3,0.9,3.4,0,100
cilok,255.969,7.8,8,38.9,78,100
cincau,0.956,0,0,0.2,3,100
cingloy,217.012,7.8,8,28.9,78,100
cireng,363.041,5.3,20.5,39.2,1,100
cireng/bakwan,539.901,5.3,40.5,39.2,1,100
coconut milk with kluwih muda belu,86.996,0.9,3.5,15.1,3,100
coklat,477.044,4.2,29.7,63.4,11,100
coklat beng beng,499.988,7.5,23,66.6,51,100
coklat cha-cha,499.988,7.5,23,66.6,51,100
corn bose and kacang tanah,157.979,6.7,12,8.5,6,100
cucur,401.042,1.8,26.1,40.9,8,100
daging ayam goreng,331.971,26.2,23.1,3.7,70,100
daging babi goreng,302.096,26.2,21.3,0,59,100
daging sapi rebus,449.081,23.8,29.8,22.2,49,100
daging telur,267.919,18.4,20.8,0.6,88,100
dodol garut,188.093,2.2,4.2,35.5,3,100
dodol mannga,180.923,2.1,4.2,34.1,3,100
dodongkal,188.093,2.2,4.2,35.5,3,100
donat,400.086,5.2,21.8,46.3,20,100
emping melinjo mentah,331.971,15.4,2,64.5,5,100
empon,325.04,12.7,13.8,58.2,52,100
es cuwing,55.926,2.9,0.2,12.5,24,100
es dawet/cendol,30.114,0.1,0.7,6.1,1,100
es krim solo,195.98,3.2,9.9,24.8,72,100
es krim walls,195.98,3.2,9.9,24.8,72,100
es miami,38.957,0,0,10,0,100
es nong nong,48.039,0.6,1.2,9.1,3,100
fruittella,347.984,0,0,89.9,1,100
fuji mie/mi instan/tiga putra,141.01,4.8,0.7,28.3,1,100
fujimie (terigu. tapioka. garam. gula.,500.944,6,25.7,62.1,3,100
garam,0,0,0,0,38724,100
garam kasar,0,0,0,0,38724,100
geblek pati,483.019,2.2,25.6,63.8,4,100
geblog ubi,224.899,1.3,6.9,41.6,13,100
gembong/jalabia,401.042,1.8,26.1,40.9,8,100
getuk,184.986,1.2,2.6,40.9,3,100
getuk tiwul,814.034,21.3,59.1,62,24,100
gulai daging kambing belu,228.962,20.1,15.7,0.6,43,100
gulasakarin,0,0,0,0,0,100
hallo boy (terigu. tapioka. udang wijen,500.944,6,25.7,62.1,3,100
halus manis,386.941,0,0,99.9,1,100
hati ayam rebus belu,157.023,24.4,5.5,0.9,51,100
hunkwe,50.907,1,1.6,9.4,117,100
jagung rebus campur kagang hijau belu,16.013,0.6,0.2,3.6,2,100
jahe,65.964,2.1,0.3,15.3,5,100
jalabia,188.093,2.2,4.2,35.5,3,100
jamu beras kencur,44.932,0.1,0,11.4,0,100
jamu lempuyang,44.932,0.1,0,11.4,0,100
jangung bose campur kacang hijau belu,16.013,0.6,0.2,3.7,2,100
jelly,158.935,1.7,0.6,39.6,233,100
jeruk,137.903,11.2,2.2,25.9,226,100
kacang atom,547.071,23.9,44.3,22.6,16,100
kacang dadap,598.934,23.2,54.3,14.5,16,100
kacang garing rege,548.983,23.2,44.3,24.5,16,100
kacang shanghai,598.934,23.2,54.3,14.5,16,100
kacang sukro,585.072,22.1,51.8,17,16,100
kacang telur,588.896,21.9,51.8,18.3,16,100
karoket,227.05,3.6,18.2,13,8,100
kayu manis,260.988,3.9,3.2,79.8,26,100
kecap,59.989,10.5,0.1,5.6,5586,100
kecap asin,38.957,0,0,10,0,100
keluwek,325.04,12.7,13.8,58.2,52,100
kenji,500.944,6,25.7,62.1,3,100
keong mas,206.974,4.4,2,42.9,22,100
kerupuk aci,380.966,0.3,0.1,91.3,9,100
kerupuk gaplek,363.997,2.6,0.7,88.5,6,100
kerupuk ikan berpati,336.034,15.2,0.7,63.9,57,100
kerupuk ketan putih,380.966,0.3,0.1,91.3,9,100
kerupuk legender,300.901,2.5,0.7,73.4,5,100
kerupuk singkong,287.995,2.4,0.7,70.2,4,100
kerupuk singkong pedas,287.995,2.4,0.7,70.2,4,100
kerupuk terigu mentah,363.997,10.3,1,76.3,2,100
kerupuk udang,548.983,6.5,28.4,66.6,74,100
kerupuk udang berpati,358.978,17.3,1,66.6,191,100
kerupuk upik singkong mentah,314.046,2.6,0.7,76.6,5,100
ketumbar halus,619.01,25.9,41.2,62.9,72,100
ketumbar kasar,325.04,12.7,13.8,58.2,52,100
ketupat,20.076,0.4,0,4.3,0,100
koci,205.062,3.4,4.2,38.7,3,100
kolang-kaling,194.068,0,0,50,1,100
kopi made up (belu),1.912,0.1,0,0.4,3,100
kopi susu (jagung. tepung beras. tapio,356.11,3.2,3.4,80.7,15,100
kopi-kopi (jagung. tepung beras. tapiok,356.11,3.2,3.4,80.7,15,100
koya,188.093,2.2,4.2,35.5,3,100
krawu ubi,184.986,1.2,2.6,40.8,3,100
krecek singkong mentah,261.944,2.2,0.6,63.8,4,100
krupuk aladin,526.995,3,30.3,59.7,4,100
krupuk asin,435.936,7.2,13.7,70.4,2,100
krupuk bala bala,526.995,3,30.3,59.7,4,100
krupuk fuji (chips-chips),820.009,8.9,38.7,110.7,660,100
krupuk jantan (tapioka. udang.wijen. b,501.9,2.2,25.6,68.8,4,100
krupuk jazzy rp. 100 (ubi. bawang puti,507.875,5.3,30.3,57.3,8,100
krupuk makanan ringan sinbad,356.11,3.2,3.4,80.7,15,100
krupuk mlarat,526.995,3,30.3,59.7,4,100
krupuk monas,526.995,3,30.3,59.7,4,100
krupuk pasir,526.995,3,30.3,59.7,4,100
krupuk raja udang bandeng,526.995,3,30.3,59.7,4,100
krupuk rambakl,526.995,3,30.3,59.7,4,100
krupuk sambal udang,526.995,3,30.3,59.7,4,100
krupuk tempe,248.082,15.2,16.2,13.6,5,100
krupuk tempe besar rp. 500,248.082,15.2,16.2,13.6,5,100
krupuk udang,526.995,3,30.3,59.7,4,100
krupuk yeye,526.995,3,30.3,59.7,4,100
kue bangke mentga,467.962,1.8,32.9,44.3,14,100
kue bapuk/bakpau,174.948,5.1,0.5,37.2,2,100
kue baruasa,188.093,2.2,4.2,35.5,3,100
kue bipan,202.911,2.5,4.2,39,3,100
kue bolu,206.974,4.4,2,42.9,22,100
kue bolu coklat bundar,206.974,4.4,2,42.9,22,100
kue bolu gulung,206.974,4.4,2,42.9,22,100
kue bolu kacang,235.893,4.1,3.2,47.2,4,100
kue bolu kenari,206.974,4.4,2,42.9,22,100
kue bolu kering,206.974,4.4,2,42.9,22,100
kue bolu kukus,206.974,4.4,2,42.9,22,100
kue bolu rp. 100,206.974,4.4,2,42.9,22,100
kue cikak,173.992,3.8,0.3,38.3,1,100
kue dadar,188.093,2.2,4.2,35.5,3,100
kue dadar gulung,288.951,5.7,8.4,48.3,21,100
kue donat rp. 100,400.086,5.2,21.8,46.3,20,100
kue endog-endogan/onde- onde,344.877,5.7,12.9,52.9,2,100
kue gelangan/jalabria,401.042,1.8,26.1,40.9,8,100
kue gonjing/kue pancong,188.093,2.2,4.2,35.5,3,100
kue jalankote,249.994,2.2,7.8,43.9,5,100
kue jalankote (isinya saja),370.928,1.7,16.8,57.6,11,100
kue janda,188.093,2.2,4.2,35.5,3,100
kue kambeng-kambeng,188.093,2.2,4.2,35.5,3,100
kue kareri sala,188.093,2.2,4.2,35.5,3,100
kue lapis,402.954,5.7,22.9,44.3,32,100
kue lapis legit,402.954,5.7,22.9,44.3,32,100
kue lemet,503.095,2.2,25.6,69,4,100
kue mangkok/cimplo/apem,188.093,2.2,4.2,35.5,3,100
kue nagasari,184.986,2.1,2.8,39.9,2,100
kue pancong,288.951,4,13.6,38.4,8,100
kue pati singkong goreng,278.913,3.5,12.7,39.4,2,100
kue pia kac. ijo,227.05,4.2,0.8,52.2,8,100
kue pisang ijo + kuah,248.082,2.6,0.3,58.1,3,100
kue pisang molen rp. 100,188.093,5.6,2.2,37.1,20,100
kue putri salju,288.951,4,13.6,38.4,8,100
kue putu beras,188.093,2.2,4.2,35.5,3,100
kue roko'-roko' unti rp. 50 (nagasari),147.941,1.7,2.6,30.6,2,100
kue sakura,206.974,4.4,2,42.9,22,100
kue telur gabus/kue kontol bebek,206.974,4.4,2,42.9,22,100
kue timus,217.012,7.8,8,28.9,78,100
kue uler-uleran,206.974,4.4,2,42.9,22,100
kulit,527.951,3,30.3,60,4,100
kunci,325.04,12.7,13.8,58.2,52,100
kunyit,325.04,12.7,13.8,58.2,52,100
laos,325.04,12.7,13.8,58.2,52,100
lemper,188.093,2.2,4.2,35.5,3,100
lemper bakar,197.892,4.7,5.7,32.1,10,100
lengkuas,137.903,11.2,2.2,25.9,226,100
lodeh tahu and tempe,82.933,4.9,5.6,4.8,6,100
loder,18.881,0.5,0.8,3.2,1,100
lontong,188.093,2.2,4.2,35.5,3,100
lopis ketan,188.093,2.2,4.2,35.5,3,100
lumpia,125.953,5,3.7,17.7,25,100
martab ak kac abd meises?,418.967,8.1,21.5,49.7,27,100
martabak,319.065,7.7,18.1,31,29,100
martabak kacabd meises,414.904,7.1,20.5,52.1,27,100
merica,325.04,12.7,13.8,58.2,52,100
merica halus,325.04,12.7,13.8,58.2,52,100
milna,386.941,14,1,78.1,130,100
nagasari,212.949,2.5,8.8,33.5,6,100
oncom goreng,401.042,1.8,26.1,40.9,8,100
onde onde,278.913,3.5,12.7,39.4,2,100
onde onde singkong,278.913,3.5,12.7,39.4,2,100
ongol-ongol,143.878,0,0,36.2,8,100
opak,501.9,2.2,25.6,68.8,4,100
opak kentang,558.065,5.9,38.4,51,656,100
orog orog,184.986,1.2,2.6,40.8,3,100
oseng oseng kool belu,114.003,0.5,12.2,2.3,4,100
ote ote,206.974,4.4,2,42.9,22,100
ovaltine (tepung),338.902,9,2.4,79.9,88,100
pandan,137.903,11.2,2.2,25.9,226,100
papais,72.895,1.3,1.8,16.2,5,100
pastel,351.091,11.8,26.6,15.5,41,100
pepes ampela,93.927,14.1,3.8,0,30,100
pergedel kentang belu,272.938,8.7,21.6,11.7,22,100
perkedel jagung,142.922,7.3,7.4,13.9,26,100
pipis/keyimus,184.986,1.2,2.6,40.8,3,100
pisang goreng,157.979,0.9,10.4,17.5,1,100
pisang molen,211.993,1.6,15.4,18.2,2,100
pop corn/lappo/benno,439.999,6.9,18.1,65.4,30,100
promina,386.941,14,1,78.1,130,100
rawon,206.974,4.4,2,42.9,22,100
rengginang,412.992,6,10.5,71.5,0,100
rengginang ketan putih mentah,168.973,3.1,0.3,37.2,0,100
rengginang singkong mentah,300.901,2.5,0.7,73.4,5,100
risoles,246.887,10.3,7.6,33.3,25,100
salam,276.045,22.4,4.4,51.7,452,100
sambal,102.053,3.8,5.5,18.1,10,100
semprong,168.017,0.2,1.4,38.8,3,100
sengkulun,188.093,2.2,4.2,35.5,3,100
serabi,401.042,1.8,26.1,40.9,8,100
sereh,137.903,11.2,2.2,25.9,226,100
siomay,70.983,9.5,1.4,4.5,26,100
sirup ad plex,38.957,0,0,10,0,100
sirup batuk,38.957,0,0,10,0,100
sirup papasetamol,38.957,0,0,10,0,100
slondok,483.019,2.2,25.6,63.8,4,100
snack anak mas,500.944,6,25.7,62.1,3,100
snack boiki,526.995,3,30.3,59.7,4,100
snack idola,206.974,4.4,2,42.9,22,100
snack primarasa,500.944,6,25.7,62.1,3,100
snack rasa kelapa muda,707.918,6.6,67,30.4,40,100
snack super lipo (tapioka. gula. garam.,501.9,2.2,25.6,68.8,4,100
snack taro,500.944,6,25.7,62.1,3,100
snack taro/kenji snack top ten sn,500.944,6,25.7,62.1,3,100
snack tic tic makanan ringan/dora emon,558.065,5.9,38.4,51,656,100
snack tuyul & mbak yul (jagung. garam.,356.11,3.2,3.4,80.7,15,100
sun,386.941,14,1,78.1,130,100
tape goreng,495.925,1.8,30.5,57.2,4,100
tape ubi (poteng),329.103,2.5,0.7,81.7,5,100
air ikan cakalang,14.101,1,0.5,1.4,1019,100
air ikan layang,14.101,1,0.5,1.4,1019,100
air sayur,1.912,0.1,0,0.5,1,100
air sayur + isi,4.063,0.2,0.1,0.9,2,100
air sayur nangka,11.95,0.1,0,3.1,1,100
air sayur sukun,11.95,0.1,0,3.1,1,100
air tajin purworejo,18.881,0,0,5,0,100
bubur ayam,158.935,5.1,2.1,28.6,7,100
bubur beras bersantang purworejo,27.007,0.4,1.4,3.5,1,100
bubur campur belu,75.046,1.4,0.1,16.5,1,100
bubur cenil/bubur gintir/bubur candil,72.895,1.3,0.1,16,0,100
bubur halus campur susu belu,106.116,3.9,2.9,15.7,48,100
bubur havermuth,61.901,2.6,1,10.8,1,100
bubur kacang hijau belu,16.969,1.2,0.1,3.1,1,100
bubur kacang hijau with coconut milk,140.054,3.1,3.5,24.7,10,100
bubur kacang ijo and beras merah,113.047,3,0.2,24.8,1,100
bubur kacang ijo nestle,413.948,14.2,9.8,65.8,160,100
bubur kacang ijo with sugar and water,74.09,2.3,0.2,16.2,1,100
bubur ketan hitam,152.004,1.1,3.4,30.1,2,100
bubur lunac belu,36.089,0.7,0.1,8,0,100
bubur nasi,72.895,1.3,0.1,16,0,100
bubur nasi (belu),36.089,0.7,0.1,8,0,100
bubur nasi campur,65.964,2,0.5,13.3,1,100
bubur nasi campur kangkung,124.997,2.4,0.2,27.5,1,100
bubur nasi campur sawi belu,63.096,1.3,0.1,13.9,1,100
bubur nasi campur supermie belu,43.976,0.9,0.1,9.5,0,100
bubur nasi campur tomat belu,39.913,0.8,0.1,8.8,2,100
bubur nasi kac. hij. (belu),11.95,0.5,0,2.5,0,100
bubur nasi kecap,152.96,1.9,0.1,36.3,280,100
bubur nasi wortel,76.958,1.5,0.1,17.1,7,100
bubur nestle belu made up,41.108,1.4,1,6.6,16,100
bubur nestle dry,463.899,21.6,19,51.6,320,100
bubur nutricia sayur daging,413.948,14.2,9.8,65.8,160,100
bubur pacar,130.972,0.4,3.4,24.8,4,100
bubur saing,17.925,0.3,0,4,0,100
bubur sari buah nestle,596.066,17.5,10.1,105.9,160,100
bubur saring belu,72.895,1.3,0.1,16,0,100
bubur serelac made up belu,88.908,3.7,3.1,11.4,51,100
bubur sum sum belu,36.089,0.7,0.1,8,0,100
bubur sumsum/bubur belohok,34.894,0.3,0.9,6.7,1,100
bubur sun beras merah,45.888,2.2,1.9,5.2,32,100
bubur sun beras merah belu made up,41.108,1.4,1,6.6,16,100
bubur sun kacang hijau belu made up,82.933,2.8,2,13.2,32,100
bubur sun pisang belu made up,82.933,2.8,2,13.2,32,100
bubur tepung,72.895,1.3,0.1,16,0,100
bubur tepung beras dry rice flour,367.104,6.8,0.6,80.7,0,100
bubur tepung beras merah,72.895,1.3,0.1,16,0,100
bubur tepung beras -oko belu,56.882,2,1.4,9,22,100
bubur tepung jangung belu,86.996,1.9,0.9,18.5,8,100
bubur tim,79.109,2,0.5,16.1,6,100
bubur tim belu,43.02,1.4,0.4,8.1,6,100
cangkring tetelan,18.881,2.8,0.8,0,6,100
cerelac/ ceresoy,386.941,14,1,78.1,130,100
kuah asam ikan tembang belu,9.082,1.7,0.3,0,5,100
kuah sayur kool belu,28.919,0.5,2.2,2.4,4,100
saos tomat,32.026,1.4,0.5,6.9,14,100
soto ayam,108.028,7.4,4.6,8.7,30,100
soto daging,56.882,3.6,4.6,0,8,100
sup ayam belu,43.02,4,2.8,0,11,100
sup daging  belu,56.882,3.6,4.6,0,8,100
sup kacang hijau  belu,28.919,1.9,0.1,5.2,1,100
sup kacang merah  belu,32.026,2.2,0.1,5.7,1,100
susu bebelac,499.988,10.8,24.5,60.8,160,100
susu bendera 123,463.899,21.6,19,51.6,320,100
susu chilmil,445.018,16.2,14.3,63.7,240,100
susu dancow,463.899,21.6,19,51.6,320,100
susu dancow balita,463.899,21.6,19,51.6,320,100
susu dancow coklat,433.068,13,11.4,70.9,192,100
susu dancow instant,463.899,21.6,19,51.6,320,100
susu dancow made up(belu),38.957,1.3,1.1,6.1,19,100
susu enfamil,463.899,21.6,19,51.6,320,100
susu envapro,463.899,21.6,19,51.6,320,100
susu kental manis made up belu,331.015,8,9.8,55,138,100
susu lactogen,463.899,21.6,19,51.6,320,100
susu lactogen 1,499.988,10.8,24.5,60.8,160,100
susu lactogen 2,463.899,21.6,19,51.6,320,100
susu lactogen made up (belu),38.957,1.3,1.1,6.1,19,100
susu llm,499.988,10.8,24.5,60.8,160,100
susu morinaga,499.988,10.8,24.5,60.8,160,100
susu nutrilon,499.988,10.8,24.5,60.8,160,100
susu nutrima,463.899,21.6,19,51.6,320,100
susu promil,461.987,22.9,18.1,53.8,378,100
susu s26,499.988,10.8,24.5,60.8,160,100
susu sgm 1,499.988,10.8,24.5,60.8,160,100
susu sgm 2,463.899,21.6,19,51.6,320,100
susu sgm dry powder,463.899,21.6,19,51.6,320,100
susu sustagen,463.899,21.6,19,51.6,320,100
susu sustagen yunior,364.953,20.4,1.2,69.4,312,100
susu vitalac 1,499.988,10.8,24.5,60.8,160,100
susu vitalac 2,463.899,21.6,19,51.6,320,100
Puree wortel,47.8,2,0.2,48,45,100
Puree kentang,66.92,2,0.2,60,5,100
Puree labu kuning,50.19,1.5,0.1,46,15,100
Puree ubi jalar,59.75,2,0.1,58,10,100
Puree alpukat,71.7,3,15,15,5,100
Puree pisang,78.87,1,1,23,10,100
Bubur kacang hijau,59.75,4,0.5,40,25,100
Bubur beras merah,54.97,5,1,30,20,100
Puree brokoli,52.58,2,0.3,40,15,100
Bubur oatmeal,57.36,3,2,55,5,100
Bubur kacang merah,62.14,4,2.5,50,20,100
Bubur ayam dan labu,64.53,6,3,45,30,100
Nasi tim ayam,69.31,5,5,55,25,100
Nasi tim daging sapi,74.09,7,8,70,20,100
Nasi tim ikan,76.48,8,6,65,30,100
Sup sayuran,71.7,6,3,60,10,100
Bola-bola nasi dengan sayuran,74.09,7,4,62,15,100
Omelet sayur,71.7,8,2,50,20,100
Sup ayam dan kentang,62.14,4,1,30,15,100
Bubur sereal,54.97,3,0.5,40,10,100